,id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
0,1028232,146,55,1885,158.11,159.11,0,0,343.3418223589051
1,1127204,146,55,1993,160.11,159.11,0,0,343.20112321642705
2,1212707,146,55,2539,157.14,159.14,0,0,346.80591229524356
3,1082698,146,55,2631,162.02,162.02,0,0,344.5691430157991
4,1400926,146,55,1248,163.93,163.93,0,0,336.5598415168935
5,1284113,146,55,1778,190.15,190.15,0,0,320.7356925998055
6,1197966,146,55,1062,191.09,192.09,0,0,316.2531816268981
7,1132739,146,55,2707,242.56,240.56,0,0,289.21701362229226
8,1057981,146,55,1207,360.9,360.9,0,0,198.28474331389566
9,1095932,146,55,1230,383.18,384.18,0,0,182.40703017540875
10,1454421,146,55,2322,389.0,390.0,0,0,183.59401892547248
11,1149765,146,55,2290,302.64,303.64,0,0,243.97864414604476
12,1166964,146,55,1727,466.63,465.63,0,0,127.04550487174447
13,1010949,146,55,1109,309.43,310.43,0,0,233.5226991533332
14,1409575,146,55,2577,320.13,320.13,0,1,497.9154216953378
15,1181616,146,55,2640,319.13,319.13,0,0,234.477340230079
16,1456020,146,55,2826,377.33,379.33,0,0,193.8354154956063
17,1264395,146,55,1754,329.86,329.86,0,0,222.68224870242096
18,1472931,146,55,1971,344.35,344.35,0,0,213.5712747045594
19,1412015,146,55,1198,135.8,190.18,0,0,335.90605619240614
20,1461229,146,55,1311,184.36,228.01,0,0,306.38250951968814
21,1014564,146,55,1803,190.18,243.53,0,0,301.0845992240012
22,1485914,146,55,1558,562.6,562.6,0,0,58.58454590164524
23,1345389,146,55,2581,563.6,563.6,0,0,62.81759298853012
24,1006833,146,55,1962,562.6,563.6,0,0,60.162878470713224
25,1174921,146,55,2444,726.53,727.53,0,0,-52.42845526430585
26,1175393,146,55,2867,726.53,727.53,0,0,-50.38827453922511
27,1152412,146,55,1525,320.13,319.13,0,0,228.768760711749
28,1497398,146,55,2704,320.13,321.13,0,0,233.71480421632694
29,1363486,146,55,2492,388.03,387.03,0,0,185.83434417554997
30,1366766,146,55,1543,486.03,484.03,0,0,112.92872326677434
31,1192413,146,55,2304,486.03,484.03,0,0,116.59911932300724
32,1319547,146,55,2664,312.34,312.34,0,0,239.35293274307773
33,1337684,146,55,2569,312.34,314.34,0,0,238.15431846100563
34,1479766,146,55,2490,290.03,292.03,0,0,253.4127581292767
35,1460444,146,24,1885,158.11,160.11,0,1,622.0593804791511
36,1139730,146,24,1993,160.11,159.11,0,0,357.8459449932379
37,1115056,146,24,2539,158.14,157.14,0,0,361.8603535629418
38,1335827,146,24,2139,291.03,292.03,0,0,266.033865810835
39,1385333,146,24,1778,193.06,192.06,0,0,333.7107928186051
40,1096323,146,24,1062,192.09,192.09,0,0,330.5672052292681
41,1230693,146,24,2707,237.68,236.68,0,0,306.912540761111
42,1027016,146,24,1207,361.81,361.81,0,0,212.29164871424098
43,1181520,146,24,1230,389.0,389.0,0,0,193.3422000035331
44,1306234,146,24,2322,383.15,384.15,0,0,202.33973169384706
45,1271440,146,24,2290,302.64,304.64,0,0,258.25325709019154
46,1269834,146,24,1727,466.63,464.63,0,0,142.0605354812194
47,1176823,146,24,1109,309.43,309.43,0,0,248.53772976280817
48,1193098,146,24,1571,640.23,639.23,0,0,19.243103139225013
49,1034878,146,24,2956,640.23,640.23,0,0,25.552918666459163
50,1010243,146,24,2577,319.13,321.13,0,0,248.07788763782622
51,1451807,146,24,2640,319.13,321.13,0,0,248.38174434156167
52,1016845,146,24,1878,320.13,319.13,0,0,245.1161446539346
53,1198021,146,24,2306,243.5,335.62,1,0,589.4396836846363
54,1413802,146,24,1216,436.56,436.56,0,0,159.93478303368192
55,1231223,146,24,2126,486.03,486.03,0,0,129.64500766838023
56,1274226,146,24,2826,377.33,378.33,0,0,208.85044610508123
57,1425142,146,24,1754,334.71,334.71,0,0,233.92718649477297
58,1211593,146,24,1971,350.2,350.2,0,0,224.1152054898065
59,1419190,146,24,1902,447.23,446.23,0,0,156.1339089856558
60,1180223,146,24,1770,426.83,484.03,0,0,148.2516457283864
61,1194932,146,24,1198,228.01,228.01,0,0,306.04297816434547
62,1323477,146,24,1311,154.23,195.03,0,0,343.20376759366286
63,1371595,146,24,1803,179.45,215.4,0,0,329.692859875403
64,1171521,146,24,1438,195.0,194.0,0,0,330.7109776491065
65,1052384,146,24,2494,196.0,194.0,0,0,335.47339660394545
66,1060921,146,24,1847,194.0,194.0,0,0,333.014432836687
67,1261811,146,24,1558,562.6,562.6,0,0,73.22936767845613
68,1246502,146,24,2581,564.6,564.6,0,0,76.76140775823603
69,1497466,146,24,1962,558.72,560.72,0,0,77.15739860242707
70,1232717,146,24,1445,728.53,727.53,0,0,-43.263528995610045
71,1136112,146,24,2867,728.53,728.53,0,0,-36.7752579439599
72,1196334,146,24,2760,162.99,241.53,0,1,594.5229142286954
73,1349533,146,24,1525,320.13,320.13,0,0,243.04337365589578
74,1463406,146,24,2704,319.13,321.13,0,0,248.6904241675786
75,1447686,146,24,1543,486.03,484.03,0,0,127.57354504358523
76,1336105,146,24,2304,486.03,486.03,0,0,130.50352343448992
77,1012855,146,24,2664,311.43,311.43,0,0,254.63567089635404
78,1180646,146,24,2569,320.1,320.1,0,0,248.09974352801046
79,1062490,146,24,2490,292.03,290.03,0,0,268.13640122253406
80,1098228,146,11,1885,158.17,157.17,0,0,364.82637825476434
81,1101375,146,11,1993,159.14,159.14,0,0,364.2970898316121
82,1400016,146,11,2539,159.11,158.11,0,0,367.32175364019645
83,1439889,146,11,2139,291.03,292.03,0,0,272.17524268498147
84,1408468,146,11,2631,165.93,163.93,0,0,363.35482193430437
85,1044490,146,11,1248,163.93,164.93,0,0,356.9758313351868
86,1290002,146,11,1778,181.45,181.45,0,0,347.62065221257564
87,1190633,146,11,1062,179.48,180.48,0,0,345.17807163034354
88,1040430,146,11,2707,236.68,236.68,0,0,313.3847158096983
89,1049366,146,11,1207,389.0,390.0,0,0,199.00243623254067
90,1224120,146,11,1230,368.63,367.63,0,0,214.13329844507086
91,1293810,146,11,2322,379.3,378.3,0,0,211.92040321067566
92,1197335,146,11,2290,303.64,304.64,0,0,264.0638357898972
93,1323989,146,11,1727,466.63,464.63,0,0,148.20191235536583
94,1129467,146,11,1109,311.43,310.43,0,0,253.6473014554089
95,1229328,146,11,1571,639.23,641.23,0,0,24.97486052248422
96,1164395,146,11,2956,639.23,640.23,0,0,32.02509371504652
97,1217722,146,11,2577,320.13,321.13,0,0,253.88846633753187
98,1171266,146,11,2640,320.13,320.13,0,0,254.5625318739314
99,1024905,146,11,1878,320.13,321.13,0,1,514.960049038852
100,1343027,146,11,2306,234.74,337.62,1,0,597.7384349015563
101,1141892,146,11,1216,436.56,436.56,0,0,166.0761599078284
102,1302404,146,11,2126,435.53,486.03,0,0,152.49169235178874
103,1170447,146,11,2826,377.33,378.33,0,0,214.99182297922778
104,1140772,146,11,1754,327.86,328.86,0,0,244.50025253492402
105,1103484,146,11,1971,345.35,346.35,0,0,233.28625751574776
106,1387134,146,11,1902,445.23,447.23,0,0,162.56667337601988
107,1117711,146,11,1247,445.23,446.23,0,0,159.77773711429165
108,1472121,146,11,1770,427.83,485.03,0,0,153.69201559542796
109,1289523,146,11,1198,191.09,220.22,0,0,327.28135044530075
110,1091114,146,11,1311,206.64,207.64,0,0,327.33967876547115
111,1043572,146,11,1803,183.33,206.61,0,0,337.80487547183634
112,1103283,146,11,1438,194.0,195.0,0,1,601.255889041129
113,1265051,146,11,2494,195.0,195.0,0,1,606.0183079959678
114,1168741,146,11,1847,194.0,194.0,0,1,603.5987548869326
115,1052776,146,11,1558,562.6,563.6,0,0,79.00053571993851
116,1206564,146,11,2581,564.6,562.6,0,0,83.64320229771073
117,1302153,146,11,1962,558.72,560.72,0,0,83.29877547657361
118,1083754,146,11,1445,727.53,727.53,0,0,-36.7913539470228
119,1097952,146,11,2444,728.53,727.53,0,0,-32.30385296223017
120,1251605,146,11,2867,727.53,726.53,0,0,-29.562665230044445
121,1333032,146,11,2760,161.99,243.53,0,1,600.2546716119546
122,1086936,146,11,1525,319.13,321.13,0,0,249.14533987181898
123,1088412,146,11,2704,319.13,320.13,0,0,255.2020098743892
124,1236400,146,11,2492,389.03,387.03,0,0,206.28974465206647
125,1244516,146,11,1543,486.03,486.03,0,0,132.97450425240356
126,1380381,146,11,2304,486.03,484.03,0,0,137.38531797396456
127,1495062,146,11,2664,305.61,303.61,0,0,265.59732621717933
128,1439647,146,11,2569,314.34,314.34,0,0,258.2789207630813
129,1019214,146,11,2490,290.03,290.03,0,0,274.93937444556224
130,1316160,146,83,1885,142.59,143.59,0,0,340.9938701494733
131,1022008,146,83,1993,142.59,142.59,0,0,341.884976188541
132,1138248,146,83,2539,144.59,142.59,0,0,343.8568046053665
133,1052922,146,83,2139,292.03,290.03,0,0,238.57108256521133
134,1181474,146,83,2631,137.74,139.74,0,0,347.6215945232782
135,1046475,146,83,1248,154.26,153.26,0,0,330.4812071485621
136,1216688,146,83,1778,157.17,157.17,0,0,330.6273227344256
137,1067565,146,83,1062,159.14,157.14,0,0,326.5334010421924
138,1008328,146,83,2707,208.61,207.61,0,0,299.41841172114005
139,1430287,146,83,1207,352.11,352.11,0,0,191.2190139466477
140,1406716,146,83,1230,362.81,363.81,0,0,183.45896195043588
141,1105380,146,83,2322,354.11,353.11,0,0,195.56499010899108
142,1248694,146,83,2290,298.79,298.79,0,0,233.82014899636263
143,1252163,146,83,1727,447.23,447.23,0,0,127.04725101721561
144,1443474,146,83,1109,310.43,311.43,0,0,219.59411118652815
145,1033716,146,83,1571,581.03,581.03,0,0,32.50010639066119
146,1300295,146,83,2956,581.03,581.03,0,0,39.180130750559385
147,1311882,146,83,2104,581.03,581.03,0,0,35.07083056670865
148,1257968,146,83,2577,319.13,319.13,0,0,220.94590256664338
149,1226362,146,83,2640,320.13,321.13,0,0,220.1785434306098
150,1030655,146,83,1878,321.13,320.13,0,0,216.5427349103187
